trial;present;key;iter_ns;rec_ns;iter_found;rec_found
139;1;10807.7680000001;100;100;1;1
140;1;10745.7160000001;100;100;1;1
141;0;10193.3814500001;100;0;0;0
142;0;1415.9974500000;200;100;0;0
143;0;14355.7134500002;100;0;0;0
144;1;15553.4140000002;100;100;1;1
145;0;7877.0354500000;100;100;0;0
146;0;5756.1264500000;100;100;0;0
147;0;11800.1634500001;100;100;0;0
148;0;5720.5264500000;100;100;0;0
149;1;2379.8130000000;100;100;1;1
150;0;5871.9914500000;0;0;0;0
151;1;2043.2490000000;200;100;1;1
152;0;9676.9444500000;100;100;0;0
153;0;2651.6154500000;0;0;0;0
154;0;16164.7614500002;100;100;0;0
155;0;9214.9624500000;100;100;0;0
156;0;9210.0614500000;100;100;0;0
157;0;10625.0524500001;200;100;0;0
158;0;8253.1614500000;200;100;0;0
159;1;2458.7110000000;100;100;1;1
160;0;624.2394500000;200;100;0;0
161;0;15401.7634500002;100;100;0;0
162;1;5521.4900000000;0;0;1;1
163;0;13367.1474500002;400;100;0;0
164;1;8666.6950000000;200;100;1;1
165;0;5833.2154500000;100;100;0;0
166;1;597.2550000000;0;0;1;1
167;1;11044.6300000001;200;100;1;1
168;0;4948.2554500000;100;100;0;0
169;0;1474.4594500000;300;100;0;0
170;1;4517.2130000000;100;100;1;1
171;1;7291.0530000000;100;100;1;1
172;0;7599.6234500000;100;100;0;0
173;0;3660.4914500000;100;100;0;0
174;1;1544.8950000000;0;0;1;1
175;1;1042.9060000000;200;100;1;1
176;1;3360.5360000000;0;0;1;1
177;1;14673.8080000002;0;0;1;1
178;0;2054.5874500000;100;100;0;0
179;0;5902.8774500000;100;100;0;0
180;0;2820.0484500000;100;100;0;0
181;0;9154.0654500000;200;100;0;0
182;0;1270.2084500000;100;100;0;0
183;1;15271.6920000002;100;100;1;1
184;0;15484.2574500002;100;0;0;0
185;0;5807.6594500000;100;100;0;0
186;1;4176.3300000000;100;100;1;1
187;1;1107.3630000000;100;100;1;1
188;1;11071.9350000001;100;100;1;1
189;1;10929.8340000001;100;100;1;1
190;0;4186.2764500000;0;0;0;0
191;0;13384.6104500002;100;100;0;0
192;0;12799.0834500002;100;100;0;0
193;0;12103.0194500001;100;100;0;0
194;1;12240.5010000001;100;100;1;1
195;1;4134.5690000000;0;0;1;1
196;1;13943.0070000002;100;0;1;1
197;0;7549.3014500000;100;100;0;0
198;1;6727.5310000000;100;100;1;1
199;0;12233.4984500001;100;100;0;0
200;1;9994.7010000001;100;100;1;1
201;0;4113.9914500000;100;100;0;0
202;1;16082.3770000002;0;0;1;1
203;1;7523.0520000000;100;100;1;1
204;0;747.8504500000;100;100;0;0
205;0;1490.3264500000;100;100;0;0
206;0;7242.8894500000;100;100;0;0
207;1;14787.8390000002;100;100;1;1
208;1;10185.5550000001;100;100;1;1
209;0;10526.3814500001;200;100;0;0
210;1;4741.1610000000;100;100;1;1
211;1;10964.6820000001;100;100;1;1
212;0;11224.1194500001;100;100;0;0
213;0;9155.9554500000;100;100;0;0
214;0;91.8054500000;100;100;0;0
215;0;3888.1854500000;100;100;0;0
216;1;14890.8660000002;100;100;1;1
217;0;13725.2554500002;100;100;0;0
218;1;9101.5990000000;100;100;1;1
219;0;15502.5814500002;100;100;0;0
220;0;15353.7264500002;100;100;0;0
221;1;6048.8450000000;100;100;1;1
222;1;2044.2350000000;100;100;1;1
223;1;1448.4640000000;100;100;1;1
224;1;1804.8710000000;300;100;1;1
225;1;9240.7390000000;100;100;1;1
226;0;14036.9014500002;100;100;0;0
227;0;1211.5124500000;100;100;0;0
228;1;5077.8420000000;100;100;1;1
229;0;2167.3794500000;100;200;0;0
230;1;13657.7510000002;100;100;1;1
231;0;13219.4664500002;200;100;0;0
232;0;36.5244500000;100;100;0;0
233;1;15779.0280000002;100;100;1;1
234;1;1532.7960000000;100;100;1;1
235;0;2250.3194500000;100;100;0;0
236;1;4498.7050000000;200;100;1;1
237;1;2995.1920000000;100;100;1;1
238;1;13111.1520000002;200;100;1;1
239;0;6641.0384500000;100;100;0;0
240;1;2560.6360000000;100;100;1;1
241;0;3948.6304500000;100;100;0;0
242;0;9592.8714500000;100;0;0;0
243;1;3274.3590000000;200;100;1;1
244;1;14789.7510000002;100;100;1;1
245;1;3798.5570000000;100;100;1;1
246;0;15233.0004500002;100;100;0;0
247;1;2457.7860000000;100;100;1;1
248;1;9064.6180000000;100;100;1;1
249;0;4238.5274500000;100;100;0;0
250;0;12153.4304500001;100;100;0;0
251;1;14687.2810000002;100;100;1;1
252;1;8032.7420000000;100;100;1;1
253;1;15853.4470000002;200;100;1;1
254;0;334.6514500000;100;0;0;0
255;1;3191.1590000000;100;100;1;1
256;1;3426.0490000000;100;100;1;1
257;1;3148.4370000000;100;100;1;1
258;1;10586.7010000001;100;0;1;1
259;1;1305.7260000000;100;100;1;1
260;1;2796.0380000000;100;100;1;1
261;0;11506.1234500001;100;100;0;0
262;1;5632.8280000000;100;100;1;1
263;1;3682.2830000000;0;0;1;1
264;0;12899.3684500002;100;100;0;0
265;0;2168.8224500000;100;100;0;0
266;0;11431.2324500001;100;0;0;0
267;0;6604.3184500000;100;100;0;0
268;1;9019.4230000000;100;100;1;1
269;1;15791.0170000002;100;100;1;1
270;1;5464.7800000000;100;100;1;1
271;1;1007.3780000000;200;100;1;1
272;1;4046.5080000000;100;100;1;1
273;0;11737.2934500001;100;100;0;0
274;0;3902.6704500000;100;100;0;0
275;1;187.8640000000;100;100;1;1
276;1;5529.2810000000;100;100;1;1
277;0;2716.3664500000;100;100;0;0
278;0;2613.2784500000;200;100;0;0
279;1;4654.7910000000;100;100;1;1
280;1;7315.5920000000;100;100;1;1
