elemszam;generalas_ms;fajl_iras_ms
400000;3.000;0.000
800000;7.000;0.000
1200000;11.000;0.000
1600000;14.000;0.000
2000000;19.000;0.000
2400000;22.000;0.000
2800000;24.000;0.000
3200000;29.000;0.000
3600000;32.000;0.000
4000000;36.000;0.000
