trial;present;iter_ms;rec_ms;iter_found;rec_found
176;0;0.000000;0.000000;0;0
177;0;0.000000;0.000000;0;0
178;1;0.000000;0.000000;1;1
179;1;0.000000;0.000000;1;1
180;0;0.000000;0.000000;0;0
181;1;0.000000;0.000000;1;1
182;1;0.000000;0.000000;1;1
183;0;0.000000;0.000000;0;0
184;0;0.000000;0.000000;0;0
185;1;0.000000;0.000000;1;1
186;0;0.000000;0.000000;0;0
187;1;0.000000;0.000000;1;1
188;0;0.000000;0.000000;0;0
189;1;0.000000;0.000000;1;1
190;1;0.000000;0.000000;1;1
191;1;0.000000;0.000000;1;1
192;0;0.000000;0.000000;0;0
193;1;0.000000;0.000000;1;1
194;0;0.000000;0.000000;0;0
195;0;0.000000;0.000000;0;0
196;0;0.000000;0.000000;0;0
197;1;0.000000;0.000000;1;1
198;0;0.000000;0.000000;0;0
199;0;0.000000;0.000000;0;0
200;0;0.000000;0.000000;0;0
201;1;0.000000;0.000000;1;1
202;0;0.000000;0.000000;0;0
203;0;0.000000;0.000000;0;0
204;1;0.000000;0.000000;1;1
205;0;0.000000;0.000000;0;0
206;1;0.000000;0.000000;1;1
207;1;0.000000;0.000000;1;1
208;0;0.000000;0.000000;0;0
209;1;0.000000;0.000000;1;1
210;1;0.000000;0.000000;1;1
211;0;0.000000;0.000000;0;0
212;0;0.000000;0.000000;0;0
213;1;0.000000;0.000000;1;1
214;1;0.000000;0.000000;1;1
215;1;0.000000;0.000000;1;1
216;1;0.000000;0.000000;1;1
217;1;0.000000;0.000000;1;1
218;0;0.000000;0.000000;0;0
219;0;0.000000;0.000000;0;0
220;1;0.000000;0.000000;1;1
221;0;0.000000;0.000000;0;0
222;0;0.000000;0.000000;0;0
223;0;0.000000;0.000000;0;0
224;0;0.000000;0.000000;0;0
225;0;0.000000;0.000000;0;0
226;0;0.000000;0.000000;0;0
227;0;0.000000;0.000000;0;0
228;0;0.000000;0.000000;0;0
229;1;0.000000;0.000000;1;1
230;0;0.000000;0.000000;0;0
231;1;0.000000;0.000000;1;1
232;1;0.000000;0.000000;1;1
233;0;0.000000;0.000000;0;0
234;1;0.000000;0.000000;1;1
235;0;0.000000;0.000000;0;0
236;0;0.000000;0.000000;0;0
237;0;0.000000;0.000000;0;0
238;1;0.000000;0.000000;1;1
239;1;0.000000;0.000000;1;1
240;0;0.000000;0.000000;0;0
241;1;0.000000;0.000000;1;1
242;1;0.000000;0.000000;1;1
243;0;0.000000;0.000000;0;0
244;0;0.000000;0.000000;0;0
245;0;0.000000;0.000000;0;0
246;1;0.000000;0.000000;1;1
247;1;0.000000;0.000000;1;1
248;1;0.000000;0.000000;1;1
249;0;0.000000;0.000000;0;0
250;1;0.000000;0.000000;1;1
251;1;0.000000;0.000000;1;1
252;1;0.000000;0.000000;1;1
253;1;0.000000;0.000000;1;1
254;1;0.000000;0.000000;1;1
255;0;0.000000;0.000000;0;0
256;1;0.000000;0.000000;1;1
257;1;0.000000;0.000000;1;1
258;1;0.000000;0.000000;1;1
259;1;0.000000;0.000000;1;1
260;1;0.000000;0.000000;1;1
261;1;0.000000;0.000000;1;1
262;0;0.000000;0.000000;0;0
263;0;0.000000;0.000000;0;0
264;1;0.000000;0.000000;1;1
265;0;0.000000;0.000000;0;0
266;0;0.000000;0.000000;0;0
267;0;0.000000;0.000000;0;0
268;0;0.000000;0.000000;0;0
269;1;0.000000;0.000000;1;1
270;0;0.000000;0.000000;0;0
271;0;0.000000;0.000000;0;0
272;1;0.000000;0.000000;1;1
273;0;0.000000;0.000000;0;0
274;1;0.000000;0.000000;1;1
275;0;0.000000;0.000000;0;0
276;1;0.000000;0.000000;1;1
277;0;0.000000;0.000000;0;0
278;0;0.000000;0.000000;0;0
279;1;0.000000;0.000000;1;1
280;1;0.000000;0.000000;1;1
281;1;0.000000;0.000000;1;1
282;1;0.000000;0.000000;1;1
283;1;0.000000;0.000000;1;1
284;1;0.000000;0.000000;1;1
285;0;0.000000;0.000000;0;0
286;0;0.000000;0.000000;0;0
287;0;0.000000;0.000000;0;0
288;1;0.000000;0.000000;1;1
289;1;0.000000;0.000000;1;1
290;1;0.000000;0.000000;1;1
291;1;0.000000;0.000000;1;1
292;1;0.000000;0.000000;1;1
293;0;0.000000;0.000000;0;0
294;0;0.000000;0.000000;0;0
295;0;0.000000;0.000000;0;0
296;0;0.000000;0.000000;0;0
297;1;0.000000;0.000000;1;1
298;0;0.000000;0.000000;0;0
299;0;0.000000;0.000000;0;0
300;1;0.000000;0.000000;1;1
301;1;0.000000;0.000000;1;1
302;0;0.000000;0.000000;0;0
303;0;0.000000;0.000000;0;0
304;1;0.000000;0.000000;1;1
305;0;0.000000;0.000000;0;0
306;1;0.000000;0.000000;1;1
307;1;0.000000;0.000000;1;1
308;1;0.000000;0.000000;1;1
309;0;0.000000;0.000000;0;0
310;0;0.000000;0.000000;0;0
311;1;0.000000;0.000000;1;1
312;0;0.000000;0.000000;0;0
313;0;0.000000;0.000000;0;0
314;1;0.000000;0.000000;1;1
315;0;0.000000;0.000000;0;0
316;0;0.000000;0.000000;0;0
317;1;0.000000;0.000000;1;1
318;0;0.000000;0.000000;0;0
319;1;0.000000;0.000000;1;1
320;1;0.000000;0.000000;1;1
321;0;0.000000;0.000000;0;0
322;1;0.000000;0.000000;1;1
323;1;0.000000;0.000000;1;1
324;1;0.000000;0.000000;1;1
325;0;0.000000;0.000000;0;0
326;0;0.000000;0.000000;0;0
327;1;0.000000;0.000000;1;1
328;1;0.000000;0.000000;1;1
329;1;0.000000;0.000000;1;1
330;0;0.000000;0.000000;0;0
331;0;0.000000;0.000000;0;0
332;1;0.000000;0.000000;1;1
333;0;0.000000;0.000000;0;0
334;0;0.000000;0.000000;0;0
335;0;0.000000;0.000000;0;0
336;0;0.000000;0.000000;0;0
337;0;0.000000;0.000000;0;0
338;0;0.000000;0.000000;0;0
339;1;0.000000;0.000000;1;1
340;0;0.000000;0.000000;0;0
341;0;0.000000;0.000000;0;0
342;0;0.000000;0.000000;0;0
343;1;0.000000;0.000000;1;1
344;0;0.000000;0.000000;0;0
345;1;0.000000;0.000000;1;1
346;0;0.000000;0.000000;0;0
347;0;0.000000;0.000000;0;0
348;0;0.000000;0.000000;0;0
349;1;0.000000;0.000000;1;1
350;0;0.000000;0.000000;0;0
351;1;0.000000;0.000000;1;1
352;0;0.000000;0.000000;0;0
353;0;0.000000;0.000000;0;0
354;0;0.000000;0.000000;0;0
355;1;0.000000;0.000000;1;1
356;0;0.000000;0.000000;0;0
357;0;0.000000;0.000000;0;0
358;0;0.000000;0.000000;0;0
359;1;0.000000;0.000000;1;1
360;0;0.000000;0.000000;0;0
361;1;0.000000;0.000000;1;1
362;0;0.000000;0.000000;0;0
363;1;0.000000;0.000000;1;1
364;1;0.000000;0.000000;1;1
365;1;0.000000;0.000000;1;1
366;1;0.000000;0.000000;1;1
367;1;0.000000;0.000000;1;1
368;0;0.000000;0.000000;0;0
369;1;0.000000;0.000000;1;1
370;1;0.000000;0.000000;1;1
371;0;0.000000;0.000000;0;0
372;0;0.000000;0.000000;0;0
373;1;0.000000;0.000000;1;1
374;1;0.000000;0.000000;1;1
375;0;0.000000;0.000000;0;0
376;1;0.000000;0.000000;1;1
377;0;0.000000;0.000000;0;0
378;0;0.000000;0.000000;0;0
379;0;0.000000;0.000000;0;0
380;1;0.000000;0.000000;1;1
381;1;0.000000;0.000000;1;1
382;0;0.000000;0.000000;0;0
383;0;0.000000;0.000000;0;0
384;0;0.000000;0.000000;0;0
385;0;0.000000;0.000000;0;0
386;0;0.000000;0.000000;0;0
387;1;0.000000;0.000000;1;1
388;0;0.000000;0.000000;0;0
389;1;0.000000;0.000000;1;1
390;0;0.000000;0.000000;0;0
391;1;0.000000;0.000000;1;1
392;1;0.000000;0.000000;1;1
393;0;0.000000;0.000000;0;0
394;0;0.000000;0.000000;0;0
395;1;0.000000;0.000000;1;1
396;0;0.000000;0.000000;0;0
397;1;0.000000;0.000000;1;1
398;1;0.000000;0.000000;1;1
399;1;0.000000;0.000000;1;1
400;0;0.000000;0.000000;0;0
401;1;0.000000;0.000000;1;1
402;0;0.000000;0.000000;0;0
403;1;0.000000;0.000000;1;1
404;0;0.000000;0.000000;0;0
405;0;0.000000;0.000000;0;0
406;1;0.000000;0.000000;1;1
407;0;0.000000;0.000000;0;0
408;0;0.000000;0.000000;0;0
409;1;0.000000;0.000000;1;1
410;0;0.000000;0.000000;0;0
411;1;0.000000;0.000000;1;1
412;1;0.000000;0.000000;1;1
413;1;0.000000;0.000000;1;1
414;0;0.000000;0.000000;0;0
415;1;0.000000;0.000000;1;1
416;1;0.000000;0.000000;1;1
417;0;0.000000;0.000000;0;0
418;1;0.000000;0.000000;1;1
419;1;0.000000;0.000000;1;1
420;1;0.000000;0.000000;1;1
421;0;0.000000;0.000000;0;0
422;0;0.000000;0.000000;0;0
423;0;0.000000;0.000000;0;0
424;1;0.000000;0.000000;1;1
425;0;0.000000;0.000000;0;0
426;1;0.000000;0.000000;1;1
427;1;0.000000;0.000000;1;1
428;0;0.000000;0.000000;0;0
429;1;0.000000;0.000000;1;1
430;1;0.000000;0.000000;1;1
431;0;0.000000;0.000000;0;0
432;1;0.000000;0.000000;1;1
433;1;0.000000;0.000000;1;1
434;1;0.000000;0.000000;1;1
435;1;0.000000;0.000000;1;1
436;1;0.000000;0.000000;1;1
437;0;0.000000;0.000000;0;0
438;0;0.000000;0.000000;0;0
439;0;0.000000;0.000000;0;0
440;0;0.000000;0.000000;0;0
441;0;0.000000;0.000000;0;0
442;0;0.000000;0.000000;0;0
443;1;0.000000;0.000000;1;1
444;1;0.000000;0.000000;1;1
445;1;0.000000;0.000000;1;1
446;1;0.000000;0.000000;1;1
447;1;0.000000;0.000000;1;1
448;0;0.000000;0.000000;0;0
449;0;0.000000;0.000000;0;0
450;1;0.000000;0.000000;1;1
451;1;0.000000;0.000000;1;1
452;0;0.000000;0.000000;0;0
453;0;0.000000;0.000000;0;0
454;0;0.000000;0.000000;0;0
455;0;0.000000;0.000000;0;0
456;1;0.000000;0.000000;1;1
